time,close,x1,y1,z1
13/07/2020 0:00,106.898,FALSE,106.898,FALSE
13/07/2020 0:15,106.899,TRUE,106.899,FALSE
13/07/2020 0:30,106.892,FALSE,106.892,FALSE
13/07/2020 0:45,106.916,TRUE,106.916,TRUE
13/07/2020 1:00,106.906,FALSE,106.906,TRUE
13/07/2020 1:15,106.919,TRUE,106.919,TRUE
13/07/2020 1:30,106.9,FALSE,106.9,TRUE
13/07/2020 1:45,106.819,FALSE,106.819,TRUE
13/07/2020 2:00,106.857,FALSE,106.857,FALSE
13/07/2020 2:15,106.878,TRUE,106.878,TRUE
13/07/2020 2:30,106.891,TRUE,106.891,TRUE
13/07/2020 2:45,106.816,TRUE,106.816,TRUE
13/07/2020 3:00,106.9,FALSE,106.9,TRUE
13/07/2020 3:15,106.87,FALSE,106.87,TRUE
13/07/2020 3:30,106.884,TRUE,106.884,TRUE
13/07/2020 3:45,106.855,FALSE,106.855,FALSE
13/07/2020 4:00,106.829,FALSE,106.829,FALSE
13/07/2020 4:15,106.822,FALSE,106.822,FALSE
13/07/2020 4:30,106.839,TRUE,106.839,FALSE
13/07/2020 4:45,106.834,FALSE,106.834,FALSE
13/07/2020 5:00,106.798,FALSE,106.798,FALSE
13/07/2020 5:15,106.835,TRUE,106.835,FALSE
